Order ID,Date,Item Name,Item Type,Item_Price,Quantity,Revenue,Transaction_Type,Received_by,Time_of_sale,Month,Day
673,"Saturday, September 17, 2022",Sandwich,Fastfood,60,12,720,Cash,Mr.,Midnight,Sep,Sat
675,"Sunday, April 17, 2022",Sandwich,Fastfood,60,12,720,Cash,Mr.,Night,Apr,Sun
679,"Wednesday, November 2, 2022",Sandwich,Fastfood,60,12,720,Online,Mr.,Morning,Nov,Wed
827,"Friday, January 6, 2023",Sandwich,Fastfood,60,12,720,Cash,Mr.,Midnight,Jan,Fri
872,"Thursday, July 14, 2022",Sandwich,Fastfood,60,12,720,Cash,Mr.,Afternoon,Jul,Thu
935,"Friday, February 17, 2023",Sandwich,Fastfood,60,12,720,Cash,Mr.,Midnight,Feb,Fri
426,"Friday, January 20, 2023",Frankie,Fastfood,50,14,700,Cash,Mr.,Midnight,Jan,Fri
692,"Friday, January 13, 2023",Frankie,Fastfood,50,14,700,Online,Mr.,Afternoon,Jan,Fri
720,"Tuesday, May 10, 2022",Frankie,Fastfood,50,14,700,Cash,Mrs.,Morning,May,Tue
16,"Thursday, April 14, 2022",Sandwich,Fastfood,60,11,660,Cash,Mrs.,Midnight,Apr,Thu
165,"Thursday, January 5, 2023",Sandwich,Fastfood,60,11,660,Cash,Mr.,Midnight,Jan,Thu
479,"Monday, February 13, 2023",Sandwich,Fastfood,60,11,660,Cash,Mrs.,Afternoon,Feb,Mon
669,"Saturday, March 18, 2023",Sandwich,Fastfood,60,11,660,Online,Mr.,Evening,Mar,Sat
859,"Saturday, October 8, 2022",Sandwich,Fastfood,60,11,660,Cash,Mrs.,Midnight,Oct,Sat
928,"Thursday, April 7, 2022",Sandwich,Fastfood,60,11,660,Online,Mr.,Evening,Apr,Thu
958,"Sunday, May 22, 2022",Sandwich,Fastfood,60,11,660,Online,Mrs.,Night,May,Sun
72,"Thursday, March 9, 2023",Frankie,Fastfood,50,13,650,Online,Mr.,Afternoon,Mar,Thu
80,"Tuesday, May 24, 2022",Frankie,Fastfood,50,13,650,Cash,Mr.,Evening,May,Tue
140,"Sunday, June 12, 2022",Frankie,Fastfood,50,13,650,Cash,Mr.,Night,Jun,Sun
151,"Sunday, July 10, 2022",Frankie,Fastfood,50,13,650,Online,Mrs.,Morning,Jul,Sun
420,"Monday, January 30, 2023",Frankie,Fastfood,50,13,650,Online,Mrs.,Evening,Jan,Mon
439,"Friday, September 30, 2022",Frankie,Fastfood,50,13,650,Online,Mr.,Afternoon,Sep,Fri
489,"Friday, February 3, 2023",Frankie,Fastfood,50,13,650,Online,Mrs.,Evening,Feb,Fri
599,"Monday, October 3, 2022",Frankie,Fastfood,50,13,650,Cash,Mr.,Morning,Oct,Mon
610,"Sunday, May 8, 2022",Frankie,Fastfood,50,13,650,Online,Mrs.,Evening,May,Sun
730,"Tuesday, June 28, 2022",Frankie,Fastfood,50,13,650,Cash,Mrs.,Afternoon,Jun,Tue
737,"Tuesday, September 20, 2022",Frankie,Fastfood,50,13,650,Online,Mrs.,Night,Sep,Tue
778,"Saturday, June 11, 2022",Frankie,Fastfood,50,13,650,Cash,Mr.,Evening,Jun,Sat
920,"Tuesday, July 12, 2022",Frankie,Fastfood,50,13,650,Online,Mr.,Evening,Jul,Tue
956,"Saturday, April 30, 2022",Frankie,Fastfood,50,13,650,Online,Mr.,Morning,Apr,Sat
961,"Tuesday, March 14, 2023",Frankie,Fastfood,50,13,650,Cash,Mr.,Night,Mar,Tue
962,"Wednesday, May 18, 2022",Frankie,Fastfood,50,13,650,Online,Mrs.,Afternoon,May,Wed
988,"Tuesday, January 3, 2023",Frankie,Fastfood,50,13,650,Cash,Mrs.,Night,Jan,Tue
21,"Wednesday, December 21, 2022",Cold coffee,Beverages,40,15,600,Cash,Mr.,Evening,Dec,Wed
34,"Saturday, February 4, 2023",Frankie,Fastfood,50,12,600,Online,Mrs.,Evening,Feb,Sat
55,"Saturday, May 7, 2022",Sandwich,Fastfood,60,10,600,Cash,Mr.,Night,May,Sat
81,"Saturday, November 19, 2022",Frankie,Fastfood,50,12,600,Online,Mrs.,Night,Nov,Sat
175,"Monday, October 17, 2022",Frankie,Fastfood,50,12,600,Cash,Mrs.,Afternoon,Oct,Mon
193,"Sunday, February 5, 2023",Cold coffee,Beverages,40,15,600,Online,Mrs.,Midnight,Feb,Sun
235,"Tuesday, November 29, 2022",Sandwich,Fastfood,60,10,600,Cash,Mrs.,Afternoon,Nov,Tue
240,"Sunday, December 11, 2022",Sandwich,Fastfood,60,10,600,Cash,Mrs.,Morning,Dec,Sun
244,"Tuesday, November 22, 2022",Sandwich,Fastfood,60,10,600,Online,Mrs.,Midnight,Nov,Tue
257,"Tuesday, January 3, 2023",Sandwich,Fastfood,60,10,600,Cash,Mrs.,Midnight,Jan,Tue
297,"Saturday, April 30, 2022",Sandwich,Fastfood,60,10,600,Online,Mr.,Evening,Apr,Sat
321,"Wednesday, February 8, 2023",Frankie,Fastfood,50,12,600,Cash,Mrs.,Evening,Feb,Wed
372,"Saturday, November 19, 2022",Frankie,Fastfood,50,12,600,Cash,Mr.,Morning,Nov,Sat
400,"Saturday, March 4, 2023",Cold coffee,Beverages,40,15,600,Cash,Mrs.,Morning,Mar,Sat
526,"Monday, July 4, 2022",Sandwich,Fastfood,60,10,600,Cash,Mrs.,Evening,Jul,Mon
550,"Tuesday, November 15, 2022",Cold coffee,Beverages,40,15,600,Online,Mr.,Afternoon,Nov,Tue
569,"Monday, January 2, 2023",Cold coffee,Beverages,40,15,600,Online,Mrs.,Midnight,Jan,Mon
584,"Sunday, December 4, 2022",Cold coffee,Beverages,40,15,600,Cash,Mr.,Morning,Dec,Sun
605,"Monday, April 4, 2022",Cold coffee,Beverages,40,15,600,Cash,Mrs.,Afternoon,Apr,Mon
623,"Saturday, April 2, 2022",Cold coffee,Beverages,40,15,600,Cash,Mr.,Midnight,Apr,Sat
626,"Wednesday, February 1, 2023",Cold coffee,Beverages,40,15,600,Cash,Mr.,Night,Feb,Wed
651,"Monday, July 11, 2022",Sandwich,Fastfood,60,10,600,Online,Mrs.,Midnight,Jul,Mon
766,"Sunday, June 19, 2022",Sandwich,Fastfood,60,10,600,Online,Mrs.,Morning,Jun,Sun
798,"Sunday, May 22, 2022",Frankie,Fastfood,50,12,600,Cash,Mr.,Night,May,Sun
840,"Saturday, February 18, 2023",Cold coffee,Beverages,40,15,600,Cash,Mrs.,Midnight,Feb,Sat
916,"Thursday, November 17, 2022",Cold coffee,Beverages,40,15,600,Cash,Mrs.,Afternoon,Nov,Thu
948,"Monday, January 16, 2023",Sandwich,Fastfood,60,10,600,Online,Mr.,Evening,Jan,Mon
968,"Tuesday, August 9, 2022",Cold coffee,Beverages,40,15,600,Cash,Mrs.,Morning,Aug,Tue
70,"Monday, May 9, 2022",Cold coffee,Beverages,40,14,560,Cash,Mrs.,Morning,May,Mon
102,"Monday, March 13, 2023",Cold coffee,Beverages,40,14,560,Cash,Mr.,Morning,Mar,Mon
150,"Monday, January 30, 2023",Cold coffee,Beverages,40,14,560,Cash,Mr.,Afternoon,Jan,Mon
344,"Friday, May 13, 2022",Cold coffee,Beverages,40,14,560,Cash,Mr.,Night,May,Fri
379,"Wednesday, February 15, 2023",Cold coffee,Beverages,40,14,560,Cash,Mr.,Afternoon,Feb,Wed
548,"Wednesday, March 29, 2023",Cold coffee,Beverages,40,14,560,Cash,Mr.,Afternoon,Mar,Wed
800,"Sunday, November 6, 2022",Cold coffee,Beverages,40,14,560,Cash,Mr.,Night,Nov,Sun
854,"Friday, October 14, 2022",Cold coffee,Beverages,40,14,560,Online,Mrs.,Night,Oct,Fri
967,"Wednesday, June 29, 2022",Cold coffee,Beverages,40,14,560,Cash,Mr.,Afternoon,Jun,Wed
83,"Sunday, November 13, 2022",Frankie,Fastfood,50,11,550,Cash,Mr.,Evening,Nov,Sun
139,"Sunday, February 26, 2023",Frankie,Fastfood,50,11,550,Online,Mrs.,Night,Feb,Sun
225,"Thursday, March 16, 2023",Frankie,Fastfood,50,11,550,Cash,Mrs.,Evening,Mar,Thu
352,"Wednesday, May 25, 2022",Frankie,Fastfood,50,11,550,Cash,Mrs.,Night,May,Wed
588,"Thursday, June 16, 2022",Frankie,Fastfood,50,11,550,Cash,Mrs.,Morning,Jun,Thu
357,"Wednesday, September 21, 2022",Sandwich,Fastfood,60,9,540,Online,Mrs.,Afternoon,Sep,Wed
416,"Friday, August 5, 2022",Sandwich,Fastfood,60,9,540,Cash,Mr.,Morning,Aug,Fri
487,"Friday, May 27, 2022",Sandwich,Fastfood,60,9,540,Cash,Mrs.,Midnight,May,Fri
624,"Wednesday, March 8, 2023",Sandwich,Fastfood,60,9,540,Cash,Mrs.,Morning,Mar,Wed
645,"Tuesday, July 26, 2022",Sandwich,Fastfood,60,9,540,Cash,Mrs.,Night,Jul,Tue
660,"Monday, July 25, 2022",Sandwich,Fastfood,60,9,540,Cash,Mrs.,Night,Jul,Mon
932,"Tuesday, October 18, 2022",Sandwich,Fastfood,60,9,540,Online,Mr.,Afternoon,Oct,Tue
31,"Wednesday, September 14, 2022",Cold coffee,Beverages,40,13,520,Online,Mrs.,Evening,Sep,Wed
97,"Wednesday, March 29, 2023",Cold coffee,Beverages,40,13,520,Online,Mr.,Evening,Mar,Wed
104,"Thursday, October 27, 2022",Cold coffee,Beverages,40,13,520,Online,Mr.,Morning,Oct,Thu
208,"Friday, August 26, 2022",Cold coffee,Beverages,40,13,520,Cash,Mrs.,Midnight,Aug,Fri
218,"Friday, December 23, 2022",Cold coffee,Beverages,40,13,520,Online,Mrs.,Midnight,Dec,Fri
251,"Wednesday, December 21, 2022",Cold coffee,Beverages,40,13,520,Cash,Mrs.,Afternoon,Dec,Wed
277,"Thursday, December 8, 2022",Cold coffee,Beverages,40,13,520,Cash,Mrs.,Midnight,Dec,Thu
315,"Monday, February 20, 2023",Cold coffee,Beverages,40,13,520,Online,Mrs.,Afternoon,Feb,Mon
414,"Saturday, January 21, 2023",Cold coffee,Beverages,40,13,520,Cash,Mr.,Night,Jan,Sat
456,"Saturday, December 31, 2022",Cold coffee,Beverages,40,13,520,Cash,Mrs.,Night,Dec,Sat
631,"Friday, July 1, 2022",Cold coffee,Beverages,40,13,520,Cash,Mrs.,Evening,Jul,Fri
652,"Saturday, May 21, 2022",Cold coffee,Beverages,40,13,520,Online,Mrs.,Afternoon,May,Sat
702,"Saturday, March 25, 2023",Cold coffee,Beverages,40,13,520,Cash,Mrs.,Afternoon,Mar,Sat
989,"Tuesday, October 11, 2022",Cold coffee,Beverages,40,13,520,Cash,Mr.,Afternoon,Oct,Tue
37,"Thursday, January 5, 2023",Frankie,Fastfood,50,10,500,Cash,Mr.,Night,Jan,Thu
266,"Sunday, October 2, 2022",Frankie,Fastfood,50,10,500,Online,Mrs.,Night,Oct,Sun
374,"Sunday, July 24, 2022",Frankie,Fastfood,50,10,500,Online,Mr.,Midnight,Jul,Sun
436,"Thursday, January 5, 2023",Frankie,Fastfood,50,10,500,Cash,Mr.,Midnight,Jan,Thu
604,"Thursday, September 8, 2022",Frankie,Fastfood,50,10,500,Cash,Mrs.,Night,Sep,Thu
653,"Monday, May 30, 2022",Frankie,Fastfood,50,10,500,Online,Mrs.,Midnight,May,Mon
664,"Monday, October 31, 2022",Frankie,Fastfood,50,10,500,Online,Mrs.,Morning,Oct,Mon
724,"Monday, June 27, 2022",Frankie,Fastfood,50,10,500,Cash,Mrs.,Night,Jun,Mon
731,"Thursday, March 9, 2023",Frankie,Fastfood,50,10,500,Cash,Mrs.,Afternoon,Mar,Thu
733,"Friday, February 3, 2023",Frankie,Fastfood,50,10,500,Cash,Mr.,Evening,Feb,Fri
744,"Saturday, June 25, 2022",Frankie,Fastfood,50,10,500,Cash,Mrs.,Morning,Jun,Sat
776,"Tuesday, February 7, 2023",Frankie,Fastfood,50,10,500,Cash,Mr.,Midnight,Feb,Tue
866,"Saturday, August 13, 2022",Frankie,Fastfood,50,10,500,Online,Mr.,Midnight,Aug,Sat
996,"Sunday, March 19, 2023",Frankie,Fastfood,50,10,500,Cash,Mrs.,Evening,Mar,Sun
44,"Sunday, August 28, 2022",Cold coffee,Beverages,40,12,480,Cash,Mr.,Evening,Aug,Sun
109,"Monday, August 8, 2022",Cold coffee,Beverages,40,12,480,Cash,Mr.,Afternoon,Aug,Mon
111,"Sunday, September 4, 2022",Sandwich,Fastfood,60,8,480,Cash,Mrs.,Midnight,Sep,Sun
131,"Thursday, January 19, 2023",Sandwich,Fastfood,60,8,480,Cash,Mr.,Night,Jan,Thu
212,"Thursday, May 5, 2022",Cold coffee,Beverages,40,12,480,Online,Mrs.,Morning,May,Thu
254,"Sunday, October 9, 2022",Cold coffee,Beverages,40,12,480,Cash,Mrs.,Afternoon,Oct,Sun
268,"Sunday, February 5, 2023",Cold coffee,Beverages,40,12,480,Cash,Mrs.,Midnight,Feb,Sun
309,"Friday, October 14, 2022",Sandwich,Fastfood,60,8,480,Online,Mr.,Evening,Oct,Fri
326,"Tuesday, May 3, 2022",Sandwich,Fastfood,60,8,480,Cash,Mr.,Evening,May,Tue
346,"Tuesday, January 31, 2023",Cold coffee,Beverages,40,12,480,Cash,Mr.,Morning,Jan,Tue
499,"Wednesday, July 27, 2022",Sandwich,Fastfood,60,8,480,Online,Mrs.,Evening,Jul,Wed
506,"Monday, December 26, 2022",Cold coffee,Beverages,40,12,480,Cash,Mrs.,Midnight,Dec,Mon
636,"Tuesday, April 26, 2022",Cold coffee,Beverages,40,12,480,Cash,Mr.,Morning,Apr,Tue
804,"Tuesday, October 11, 2022",Cold coffee,Beverages,40,12,480,Online,Mrs.,Night,Oct,Tue
815,"Wednesday, April 20, 2022",Cold coffee,Beverages,40,12,480,Online,Mrs.,Afternoon,Apr,Wed
909,"Tuesday, February 21, 2023",Cold coffee,Beverages,40,12,480,Online,Mrs.,Morning,Feb,Tue
946,"Tuesday, February 21, 2023",Sandwich,Fastfood,60,8,480,Cash,Mr.,Midnight,Feb,Tue
106,"Saturday, February 25, 2023",Frankie,Fastfood,50,9,450,Cash,Mrs.,Evening,Feb,Sat
261,"Wednesday, January 11, 2023",Frankie,Fastfood,50,9,450,Cash,Mrs.,Midnight,Jan,Wed
341,"Sunday, March 19, 2023",Frankie,Fastfood,50,9,450,Cash,Mrs.,Evening,Mar,Sun
363,"Monday, May 9, 2022",Frankie,Fastfood,50,9,450,Online,Mr.,Afternoon,May,Mon
595,"Wednesday, February 22, 2023",Frankie,Fastfood,50,9,450,Online,Mr.,Afternoon,Feb,Wed
649,"Saturday, November 5, 2022",Frankie,Fastfood,50,9,450,Cash,Mr.,Midnight,Nov,Sat
681,"Friday, December 9, 2022",Frankie,Fastfood,50,9,450,Online,Mrs.,Night,Dec,Fri
848,"Thursday, November 10, 2022",Frankie,Fastfood,50,9,450,Cash,Mr.,Night,Nov,Thu
863,"Thursday, September 8, 2022",Frankie,Fastfood,50,9,450,Online,Mr.,Night,Sep,Thu
929,"Monday, June 6, 2022",Frankie,Fastfood,50,9,450,Online,Mrs.,Night,Jun,Mon
27,"Wednesday, October 12, 2022",Cold coffee,Beverages,40,11,440,Online,Mrs.,Afternoon,Oct,Wed
41,"Sunday, November 13, 2022",Cold coffee,Beverages,40,11,440,Cash,Mr.,Afternoon,Nov,Sun
322,"Thursday, May 5, 2022",Cold coffee,Beverages,40,11,440,Cash,Mr.,Morning,May,Thu
335,"Monday, October 24, 2022",Cold coffee,Beverages,40,11,440,Cash,Mr.,Night,Oct,Mon
455,"Wednesday, March 1, 2023",Cold coffee,Beverages,40,11,440,Cash,Mr.,Midnight,Mar,Wed
457,"Sunday, October 16, 2022",Cold coffee,Beverages,40,11,440,Cash,Mr.,Evening,Oct,Sun
638,"Saturday, August 20, 2022",Cold coffee,Beverages,40,11,440,Online,Mrs.,Afternoon,Aug,Sat
797,"Saturday, November 26, 2022",Cold coffee,Beverages,40,11,440,Cash,Mr.,Night,Nov,Sat
891,"Tuesday, December 27, 2022",Cold coffee,Beverages,40,11,440,Cash,Mr.,Midnight,Dec,Tue
969,"Sunday, November 6, 2022",Cold coffee,Beverages,40,11,440,Cash,Mr.,Morning,Nov,Sun
47,"Sunday, July 10, 2022",Sandwich,Fastfood,60,7,420,Cash,Mr.,Morning,Jul,Sun
63,"Thursday, December 1, 2022",Sandwich,Fastfood,60,7,420,Online,Mrs.,Morning,Dec,Thu
112,"Friday, February 24, 2023",Sandwich,Fastfood,60,7,420,Cash,Mr.,Morning,Feb,Fri
149,"Tuesday, August 9, 2022",Sandwich,Fastfood,60,7,420,Online,Mr.,Morning,Aug,Tue
288,"Monday, August 22, 2022",Sandwich,Fastfood,60,7,420,Cash,Mr.,Night,Aug,Mon
295,"Thursday, July 21, 2022",Sandwich,Fastfood,60,7,420,Cash,Mr.,Midnight,Jul,Thu
469,"Sunday, May 15, 2022",Sandwich,Fastfood,60,7,420,Online,Mrs.,Morning,May,Sun
497,"Wednesday, January 25, 2023",Sandwich,Fastfood,60,7,420,Cash,Mr.,Midnight,Jan,Wed
515,"Wednesday, November 2, 2022",Sandwich,Fastfood,60,7,420,Cash,Mrs.,Night,Nov,Wed
648,"Friday, May 27, 2022",Sandwich,Fastfood,60,7,420,Cash,Mr.,Night,May,Fri
691,"Friday, April 1, 2022",Sandwich,Fastfood,60,7,420,Cash,Mrs.,Evening,Apr,Fri
729,"Thursday, November 24, 2022",Sandwich,Fastfood,60,7,420,Cash,Mr.,Night,Nov,Thu
764,"Tuesday, February 14, 2023",Sandwich,Fastfood,60,7,420,Cash,Mrs.,Night,Feb,Tue
802,"Monday, January 23, 2023",Sandwich,Fastfood,60,7,420,Online,Mrs.,Afternoon,Jan,Mon
908,"Monday, March 6, 2023",Sandwich,Fastfood,60,7,420,Cash,Mrs.,Night,Mar,Mon
991,"Wednesday, January 18, 2023",Sandwich,Fastfood,60,7,420,Cash,Mrs.,Night,Jan,Wed
997,"Tuesday, September 20, 2022",Sandwich,Fastfood,60,7,420,Cash,Mr.,Evening,Sep,Tue
11,"Thursday, December 1, 2022",Frankie,Fastfood,50,8,400,Online,Mrs.,Afternoon,Dec,Thu
20,"Thursday, September 15, 2022",Cold coffee,Beverages,40,10,400,Online,Mr.,Night,Sep,Thu
28,"Friday, January 6, 2023",Cold coffee,Beverages,40,10,400,Online,Mrs.,Afternoon,Jan,Fri
36,"Saturday, July 2, 2022",Cold coffee,Beverages,40,10,400,Online,Mr.,Afternoon,Jul,Sat
74,"Monday, August 15, 2022",Cold coffee,Beverages,40,10,400,Online,Mrs.,Evening,Aug,Mon
88,"Thursday, July 7, 2022",Cold coffee,Beverages,40,10,400,Cash,Mr.,Evening,Jul,Thu
143,"Sunday, September 18, 2022",Frankie,Fastfood,50,8,400,Cash,Mrs.,Afternoon,Sep,Sun
200,"Sunday, December 25, 2022",Cold coffee,Beverages,40,10,400,Cash,Mrs.,Morning,Dec,Sun
217,"Thursday, March 23, 2023",Cold coffee,Beverages,40,10,400,Cash,Mr.,Morning,Mar,Thu
291,"Friday, January 27, 2023",Frankie,Fastfood,50,8,400,Online,Mrs.,Night,Jan,Fri
314,"Monday, February 27, 2023",Frankie,Fastfood,50,8,400,Online,Mrs.,Morning,Feb,Mon
488,"Wednesday, September 21, 2022",Cold coffee,Beverages,40,10,400,Cash,Mr.,Midnight,Sep,Wed
494,"Saturday, January 14, 2023",Cold coffee,Beverages,40,10,400,Cash,Mrs.,Night,Jan,Sat
496,"Monday, November 7, 2022",Cold coffee,Beverages,40,10,400,Online,Mrs.,Night,Nov,Mon
519,"Friday, November 25, 2022",Cold coffee,Beverages,40,10,400,Cash,Mr.,Morning,Nov,Fri
531,"Tuesday, October 4, 2022",Cold coffee,Beverages,40,10,400,Cash,Mr.,Night,Oct,Tue
547,"Saturday, May 14, 2022",Cold coffee,Beverages,40,10,400,Online,Mr.,Morning,May,Sat
583,"Tuesday, May 31, 2022",Frankie,Fastfood,50,8,400,Cash,Mr.,Night,May,Tue
628,"Monday, May 2, 2022",Cold coffee,Beverages,40,10,400,Cash,Mrs.,Night,May,Mon
642,"Monday, May 9, 2022",Cold coffee,Beverages,40,10,400,Online,Mrs.,Morning,May,Mon
706,"Sunday, February 5, 2023",Frankie,Fastfood,50,8,400,Online,Mr.,Night,Feb,Sun
723,"Thursday, February 16, 2023",Cold coffee,Beverages,40,10,400,Online,Mr.,Evening,Feb,Thu
767,"Sunday, February 26, 2023",Frankie,Fastfood,50,8,400,Cash,Mrs.,Afternoon,Feb,Sun
769,"Tuesday, June 7, 2022",Frankie,Fastfood,50,8,400,Cash,Mr.,Morning,Jun,Tue
849,"Thursday, November 3, 2022",Cold coffee,Beverages,40,10,400,Cash,Mrs.,Night,Nov,Thu
898,"Thursday, March 2, 2023",Frankie,Fastfood,50,8,400,Cash,Mr.,Afternoon,Mar,Thu
941,"Friday, February 10, 2023",Cold coffee,Beverages,40,10,400,Online,Mrs.,Morning,Feb,Fri
983,"Friday, March 17, 2023",Cold coffee,Beverages,40,10,400,Cash,Mrs.,Night,Mar,Fri
185,"Friday, January 13, 2023",Sugarcane juice,Beverages,25,15,375,Cash,Mr.,Night,Jan,Fri
210,"Monday, January 2, 2023",Sugarcane juice,Beverages,25,15,375,Cash,Mr.,Night,Jan,Mon
324,"Monday, July 18, 2022",Sugarcane juice,Beverages,25,15,375,Online,Mrs.,Night,Jul,Mon
474,"Sunday, August 28, 2022",Sugarcane juice,Beverages,25,15,375,Cash,Mrs.,Night,Aug,Sun
552,"Monday, September 12, 2022",Sugarcane juice,Beverages,25,15,375,Cash,Mrs.,Midnight,Sep,Mon
627,"Wednesday, June 22, 2022",Sugarcane juice,Beverages,25,15,375,Online,Mr.,Afternoon,Jun,Wed
717,"Tuesday, October 11, 2022",Sugarcane juice,Beverages,25,15,375,Cash,Mrs.,Evening,Oct,Tue
933,"Saturday, January 21, 2023",Sugarcane juice,Beverages,25,15,375,Online,Mrs.,Afternoon,Jan,Sat
960,"Friday, August 12, 2022",Sugarcane juice,Beverages,25,15,375,Online,Mrs.,Evening,Aug,Fri
152,"Monday, October 24, 2022",Cold coffee,Beverages,40,9,360,Online,Mr.,Afternoon,Oct,Mon
222,"Sunday, September 11, 2022",Sandwich,Fastfood,60,6,360,Cash,Mrs.,Morning,Sep,Sun
382,"Tuesday, August 16, 2022",Cold coffee,Beverages,40,9,360,Cash,Mrs.,Night,Aug,Tue
446,"Wednesday, August 31, 2022",Cold coffee,Beverages,40,9,360,Cash,Mr.,Night,Aug,Wed
463,"Saturday, June 11, 2022",Sandwich,Fastfood,60,6,360,Online,Mr.,Midnight,Jun,Sat
555,"Saturday, April 16, 2022",Sandwich,Fastfood,60,6,360,Cash,Mrs.,Evening,Apr,Sat
